date,date_id,wind,desc,temp,baro,hum,year,month,day,day_date,start_hour,end_hour
"Sunday, January 10, 2021, 6:00 pm — 12:00 am",1610301600000.0,5.593,Overcast.,39.2,30.23,89,2021,1,Sunday,10,18:00,00:00
"Monday, January 11, 2021, 12:00 am — 6:00 am",1610323200000.0,6.836,Low clouds.,41.0,30.14,92,2021,1,Monday,11,00:00,06:00
"Monday, January 11, 2021, 6:00 am — 12:00 pm",1610344800000.0,11.185,Partly sunny.,46.4,30.08,84,2021,1,Monday,11,06:00,12:00
"Monday, January 11, 2021, 12:00 pm — 6:00 pm",1610366400000.0,19.264,Broken clouds.,48.2,29.99,78,2021,1,Monday,11,12:00,18:00
"Monday, January 11, 2021, 6:00 pm — 12:00 am",1610388000000.0,14.914000000000001,Passing clouds.,46.4,29.91,89,2021,1,Monday,11,18:00,00:00
"Tuesday, January 12, 2021, 12:00 am — 6:00 am",1610409600000.0,14.914000000000001,Passing clouds.,48.2,29.79,95,2021,1,Tuesday,12,00:00,06:00
"Tuesday, January 12, 2021, 6:00 am — 12:00 pm",1610431200000.0,9.321,Partly sunny.,48.2,29.88,92,2021,1,Tuesday,12,06:00,12:00
"Tuesday, January 12, 2021, 12:00 pm — 6:00 pm",1610452800000.0,6.836,Broken clouds.,44.6,30.0,88,2021,1,Tuesday,12,12:00,18:00
"Tuesday, January 12, 2021, 6:00 pm — 12:00 am",1610474400000.0,2.4859999999999998,Clear.,35.6,30.11,94,2021,1,Tuesday,12,18:00,00:00
"Wednesday, January 13, 2021, 12:00 am — 6:00 am",1610496000000.0,1.864,Low clouds.,37.4,30.11,99,2021,1,Wednesday,13,00:00,06:00
"Wednesday, January 13, 2021, 6:00 am — 12:00 pm",1610517600000.0,1.2429999999999999,Drizzle. Low clouds.,42.8,30.07,99,2021,1,Wednesday,13,06:00,12:00
"Wednesday, January 13, 2021, 12:00 pm — 6:00 pm",1610539200000.0,6.836,Drizzle. Cloudy.,50.0,30.02,98,2021,1,Wednesday,13,12:00,18:00
"Wednesday, January 13, 2021, 6:00 pm — 12:00 am",1610560800000.0,8.7,Passing clouds.,50.0,30.04,98,2021,1,Wednesday,13,18:00,00:00
"Thursday, January 14, 2021, 12:00 am — 6:00 am",1610582400000.0,4.971,Passing clouds.,48.2,29.98,99,2021,1,Thursday,14,00:00,06:00
"Thursday, January 14, 2021, 6:00 am — 12:00 pm",1610604000000.0,9.321,Light rain. Low clouds.,42.8,29.91,99,2021,1,Thursday,14,06:00,12:00
"Thursday, January 14, 2021, 12:00 pm — 6:00 pm",1610625600000.0,9.321,Drizzle. Partly sunny.,41.0,30.0,97,2021,1,Thursday,14,12:00,18:00
"Thursday, January 14, 2021, 6:00 pm — 12:00 am",1610647200000.0,8.7,Partly cloudy.,37.4,30.19,92,2021,1,Thursday,14,18:00,00:00
